layer,mm_roc_auc_mean,mm_roc_auc_std,lda_roc_auc_mean,lda_roc_auc_std
1,0.5968798435866836,0.01703897434701025,0.6093353110415908,0.012326796279815913
2,0.6922601483039361,0.012419200023780486,0.6705020711043888,0.008116174250138533
3,0.7638071218425639,0.018575887389641867,0.6046130761178732,0.018459061949015254
4,0.8282162963161982,0.010508843007377028,0.617883874283161,0.007050683400287113
5,0.8971292385071589,0.005845000202812689,0.6128308629578838,0.012887805921396198
6,0.881226814721354,0.006110520889682003,0.619551103382867,0.014486148360485831
7,0.8706229710970737,0.008597266784363455,0.6268365083946114,0.02292942243820689
8,0.8687459724694087,0.00911935975123672,0.6326056161344449,0.025531277790498713
9,0.8839664142591597,0.009273957004508119,0.6200719239408651,0.012443407805943312
10,0.8876384696734396,0.009655754394112663,0.6175958966752022,0.006429571989597674
11,0.8735523714422054,0.009613564426685522,0.6176879766233819,0.009893126868823966
12,0.8699242702003154,0.00953411669947443,0.6089127462226948,0.011193016254508322
13,0.8698071969497919,0.009847920162794782,0.6044050807807133,0.02476317495916602
14,0.8648303394563094,0.009293172797308106,0.6057943743855502,0.015877249510016136
15,0.8548818081889429,0.010630109971532508,0.5964446513660695,0.01028651358702564
16,0.8461569358745165,0.011990162021175239,0.6081248536984637,0.008068390704893258
17,0.862209681829152,0.01124119567568175,0.6285830899285558,0.006466849721975043
18,0.8362432736605104,0.016643064298456342,0.6007598403495577,0.01442939174929922
19,0.8055232302503912,0.01879701849350802,0.6202735094059298,0.01063379941386786
20,0.7804652990873933,0.021543934603873258,0.5983001078341391,0.022081200076339014
21,0.7649515483469622,0.02330546558618955,0.5984888257639259,0.018311269717137715
22,0.7544931641275718,0.022686350540951087,0.5965349198111862,0.018689756916245314
23,0.7199813476921492,0.02771586243500364,0.6056328706755975,0.0066126648628110395
24,0.7289515296534929,0.03030231946538829,0.597255586194407,0.013036086509006764
25,0.7187751094538969,0.028896312714630265,0.5878081466103726,0.012924807356983686
26,0.7207758273417515,0.02846849146895489,0.5970247995224625,0.006795806415570248
27,0.7201693881488402,0.028786666129360244,0.58885968807125,0.014896369966131506
28,0.7135350527499391,0.03081816400658139,0.5905419201899891,0.017373282710686545
29,0.7217345096561946,0.026774906816090255,0.5970874706377776,0.015563218822373631
30,0.71437510465739,0.027432406455108922,0.6039303122925235,0.01484850942603168
31,0.7082677448118548,0.030121192428528586,0.5986369270059728,0.024802306862414396
32,0.6783068272724149,0.030945751863770552,0.5870195229917688,0.013778536672238793
33,0.6474678104856177,0.021534567201479452,0.5925166311332648,0.01465685692476967
